,Actual,Predicted
20947,0,0
25929,0,0
28274,0,0
16119,0,0
3495,0,0
18475,0,0
21042,0,0
1272,0,0
31018,0,0
14987,0,0
15374,0,0
10858,0,0
13609,0,0
19521,0,0
5230,0,0
14854,0,0
22021,0,0
16101,0,0
16437,0,0
5279,0,0
16709,0,0
7113,1,0
1681,0,0
26631,0,0
6934,0,0
9771,0,0
26577,0,0
31624,0,0
6453,0,0
5011,0,0
22585,0,0
6796,0,0
23186,0,0
17224,0,0
19766,0,0
16871,1,0
15846,0,0
24647,0,0
14418,0,0
11437,0,0
23241,0,0
27842,0,0
14576,0,0
22746,0,0
5283,0,0
9227,0,0
9128,0,0
11413,0,0
1611,0,0
20910,0,0
11997,0,0
14635,0,0
29784,0,0
3368,0,0
12915,0,0
9326,0,0
7336,0,0
9320,0,0
13944,0,0
864,0,1
30427,0,0
2072,0,0
25131,0,0
14948,0,0
31134,0,0
6402,1,1
16542,0,0
28140,0,0
28942,0,0
11958,0,0
20006,0,0
5166,0,0
10464,0,0
383,0,0
1659,0,0
4141,0,0
13356,0,0
1365,0,0
6566,0,0
18280,0,0
25308,0,0
28411,0,0
2160,0,0
13903,0,0
21424,0,0
5427,0,0
29717,0,0
30032,1,1
23508,0,0
31883,0,0
16733,1,0
17802,0,0
30723,0,0
17596,0,0
16339,0,0
2927,0,0
5643,0,0
31796,0,0
16882,0,0
16696,0,0
26928,0,0
10452,0,0
8656,0,0
29549,0,0
5213,0,0
28894,0,0
22203,0,0
23964,0,1
4081,0,0
12636,0,0
24401,0,0
7653,0,0
21091,0,0
30395,0,0
15673,0,0
4592,0,0
14482,0,0
10200,0,0
29780,0,0
6048,1,0
29700,0,0
20089,0,0
19967,0,0
16224,0,0
24591,0,0
28591,0,0
7910,0,0
10737,0,0
27623,0,0
13352,0,0
7590,0,0
11560,0,0
4008,0,0
26137,0,0
26345,0,0
6220,0,0
15182,0,0
3087,0,0
28399,0,0
17546,0,0
9585,0,0
22,0,0
23818,0,0
3699,1,0
7490,0,0
26647,0,0
24038,0,0
29530,0,0
1892,1,0
19278,0,0
25916,1,0
7062,1,0
2516,0,0
31073,0,0
30274,0,0
24459,0,0
1670,0,0
29653,0,0
9782,0,0
9601,0,0
8650,0,0
17788,0,0
13087,0,0
12713,0,0
17273,0,0
29422,1,1
13464,1,0
17043,0,0
29242,0,0
15446,0,0
7854,0,0
8037,0,0
25251,0,0
18366,1,0
10843,0,0
13162,0,0
6738,0,0
28452,0,0
18701,0,0
5598,0,0
7448,0,0
25941,0,0
4040,0,0
14609,0,0
11351,0,0
30794,0,0
26581,0,0
24312,0,0
7120,0,0
27399,0,0
30467,0,0
19642,0,0
18944,0,0
10535,0,0
4685,0,0
10071,0,0
12164,0,0
24079,0,0
7105,0,0
4137,0,0
31661,1,0
3544,0,0
20753,0,0
31671,0,0
30753,0,0
24926,0,0
11861,0,0
8837,0,0
28317,0,0
12284,0,0
20955,0,0
30891,0,0
4524,0,0
17528,0,0
24533,0,0
30826,0,0
17435,0,0
31581,0,0
25856,0,0
24443,1,0
9482,0,0
28024,0,0
13005,0,0
11466,0,0
29398,1,0
6969,0,0
22185,0,0
27082,0,0
21317,1,0
7688,0,0
18543,0,0
7633,0,0
7608,0,0
31606,1,0
5101,0,0
724,0,0
20818,0,0
29269,0,0
6571,0,0
25688,0,0
24722,0,0
14680,0,0
2182,0,0
6992,0,0
24163,0,0
8052,0,0
9834,0,0
1931,0,0
20604,0,0
6066,0,0
28029,0,0
26267,0,0
30383,0,0
141,0,0
137,0,0
13468,1,0
3137,0,0
29224,0,0
24024,1,0
14910,0,0
6881,0,0
27031,0,0
7457,1,0
886,0,0
6895,0,0
5422,0,0
18445,0,0
12390,0,0
31429,0,0
4353,0,0
16837,0,0
28361,0,0
16084,0,0
11277,0,0
2108,0,0
10276,0,0
23512,0,0
9407,0,0
13108,0,0
14692,0,0
21122,1,0
14300,0,0
10703,0,0
9405,0,0
1546,0,0
30179,0,0
28769,0,0
14001,0,0
14216,0,0
10056,0,0
2222,0,0
23105,0,0
9971,0,0
31049,0,0
9790,0,0
14785,0,0
19589,1,0
21110,0,0
17296,0,0
20970,0,0
27641,0,0
29953,0,0
17424,0,0
1633,1,0
26907,0,0
18482,0,0
3164,0,0
20302,0,0
10738,0,0
26548,0,0
18732,0,0
5754,0,0
10403,0,0
4067,0,0
9620,0,0
8373,0,0
13688,0,0
21009,0,0
18697,0,0
18634,0,0
5739,0,0
19079,0,1
22730,0,0
432,1,1
21624,1,0
5360,0,0
20719,0,0
7762,0,0
27949,0,0
17352,0,0
28455,0,0
17001,0,0
6031,0,0
9988,0,0
16856,0,0
3055,0,0
19386,0,0
11321,0,0
19763,0,0
1738,0,0
16155,0,0
3949,0,0
1703,0,0
2999,0,0
16222,1,1
25545,1,0
3900,0,0
4311,0,0
21528,0,0
9570,0,0
17000,0,0
16826,0,0
24866,0,0
16619,0,0
9287,0,0
19230,0,1
15591,0,0
1682,0,0
31348,0,0
14456,0,0
17285,0,0
15541,0,0
19577,0,0
1111,0,0
1045,0,0
1094,0,0
8263,0,0
28687,1,1
26261,0,0
16299,0,0
16628,0,0
882,0,0
31067,0,0
28747,0,0
16159,0,1
16815,0,0
5576,0,0
8007,0,0
25521,1,0
6822,0,0
2218,0,0
25906,0,0
15949,0,0
993,0,0
13985,0,0
6343,0,0
9120,1,1
1969,0,0
31607,0,0
22663,0,0
31441,0,0
30076,0,0
7554,0,0
24236,0,0
28298,0,0
24676,0,0
19712,0,0
19296,0,0
23380,0,0
6379,1,1
2738,0,0
19727,0,0
20417,0,0
577,0,0
12864,0,0
12318,0,0
9296,0,0
28005,0,0
26535,0,0
9305,0,0
2564,0,0
11687,0,0
28398,0,0
9138,0,0
7148,0,0
6842,0,0
31738,0,0
14816,1,1
16221,0,0
10481,0,0
5850,1,0
30948,0,0
1136,1,0
20972,0,0
19031,0,0
29760,0,0
9157,0,0
7579,1,0
27384,0,0
12402,0,0
11336,0,0
4118,0,0
15286,0,0
24970,1,0
18178,0,0
15094,0,0
16212,0,0
25656,0,0
5952,0,0
25126,0,0
30489,1,0
30172,0,0
27927,0,0
23765,0,0
13431,0,0
27014,0,0
25470,0,0
20362,0,0
15085,0,0
18336,0,0
24402,0,0
11070,0,0
20695,0,0
23906,0,0
22175,0,0
1932,0,0
21913,1,0
8291,0,0
866,0,0
1858,1,1
28935,0,0
11849,0,0
6752,0,0
2366,0,0
12683,0,0
17823,1,1
27454,0,0
20277,1,1
25260,0,0
8366,0,0
1114,0,0
12630,0,0
21576,0,0
24009,1,1
31345,0,0
14203,0,0
14878,1,0
5055,0,0
19708,0,0
14778,0,0
27772,0,0
31512,0,0
7245,0,0
17438,0,0
30846,0,0
13299,0,0
28001,0,0
12257,0,0
1572,0,1
26043,0,0
16600,0,0
11302,0,0
11180,0,0
12407,1,0
20685,0,0
27864,0,0
30765,0,0
16073,0,0
8403,0,0
4334,0,0
7735,1,1
12497,0,0
3037,0,0
2250,0,0
5091,1,1
3012,0,0
24424,0,0
4636,0,0
21807,0,0
23218,0,0
2096,0,0
11371,0,0
8553,0,0
19067,0,0
24439,0,0
6339,0,0
27950,0,0
7252,0,0
6409,0,0
15156,0,0
1445,0,0
31789,1,0
31336,0,0
5296,0,0
7396,0,0
25185,0,0
16388,0,0
29394,0,0
14394,0,0
13673,0,0
26632,0,0
23034,0,0
24765,1,1
26095,0,0
10580,0,0
31842,0,0
5407,0,0
3919,0,0
2298,0,0
15495,0,0
31433,0,0
2979,0,0
1925,0,0
21171,0,0
11584,0,0
13277,0,0
18317,0,0
