,Actual,Predicted
1921,neutral,neutral
2063,negative,negative
12467,negative,negative
8076,positive,positive
7632,negative,negative
13161,negative,negative
3758,positive,positive
8553,positive,positive
10380,negative,negative
4893,neutral,positive
3555,negative,negative
9798,negative,negative
75,positive,positive
11927,negative,neutral
1325,neutral,positive
13284,negative,negative
13406,negative,negative
9856,neutral,negative
1434,negative,negative
7548,negative,negative
9718,negative,negative
5456,neutral,negative
2899,negative,negative
4188,negative,negative
3243,negative,negative
5116,negative,negative
4546,positive,neutral
12766,neutral,negative
47,positive,negative
7978,positive,positive
33,negative,negative
2438,neutral,negative
6557,negative,negative
7629,neutral,neutral
11997,positive,positive
6890,negative,negative
2321,negative,negative
6441,negative,negative
9218,negative,negative
2150,neutral,neutral
14180,negative,negative
6988,neutral,neutral
12010,negative,negative
7947,neutral,neutral
2533,negative,negative
10644,negative,negative
5678,negative,negative
12690,negative,negative
13725,negative,negative
8303,negative,negative
5356,negative,negative
11626,negative,negative
5759,negative,negative
7304,positive,positive
5361,negative,negative
221,negative,neutral
8323,positive,positive
4949,negative,negative
11151,neutral,neutral
9833,negative,negative
8220,neutral,negative
9162,negative,negative
1327,negative,negative
9973,negative,negative
3123,neutral,neutral
5863,positive,positive
9620,negative,negative
1089,negative,negative
13373,negative,negative
3326,negative,negative
1019,negative,negative
743,neutral,positive
13045,negative,negative
4138,neutral,neutral
12759,negative,negative
2497,negative,negative
6055,neutral,negative
4798,negative,negative
5745,positive,neutral
5295,neutral,negative
2634,negative,neutral
3274,negative,neutral
9552,negative,negative
5268,neutral,neutral
11437,negative,negative
93,negative,negative
7009,negative,negative
7552,negative,neutral
368,negative,positive
6180,neutral,negative
14050,negative,negative
6296,negative,negative
7302,negative,neutral
1672,positive,positive
450,negative,negative
222,positive,positive
7705,positive,positive
11930,positive,positive
13277,negative,negative
3717,neutral,neutral
353,negative,negative
1312,neutral,negative
3506,neutral,negative
6680,positive,positive
12604,neutral,negative
1650,negative,negative
11724,negative,negative
11543,negative,negative
8852,neutral,negative
8449,negative,negative
12552,negative,negative
13757,positive,neutral
11901,negative,negative
707,negative,negative
9358,negative,negative
7766,neutral,negative
10735,negative,neutral
8137,negative,negative
805,neutral,negative
12120,neutral,neutral
5727,neutral,neutral
5119,negative,negative
702,neutral,neutral
12914,negative,negative
8171,negative,negative
414,neutral,neutral
8205,negative,negative
12899,neutral,neutral
10492,negative,negative
13586,negative,negative
782,positive,neutral
2103,negative,negative
481,negative,negative
8766,positive,neutral
1455,negative,neutral
12850,negative,negative
5859,negative,negative
7572,positive,neutral
1203,negative,negative
2890,positive,positive
185,neutral,negative
2220,negative,negative
4692,positive,positive
10800,negative,negative
1592,negative,negative
12782,neutral,negative
173,negative,negative
8144,neutral,neutral
13335,negative,negative
1398,neutral,negative
4287,positive,positive
2834,negative,negative
7661,neutral,neutral
5214,neutral,negative
4700,positive,positive
